dataset,arm,seed,gate_index,model,auc_roc,accuracy,overall_fairness_passed,attribute,disparate_impact,demographic_parity_difference,equal_opportunity_difference,protected,excluded_groups,violation,decision,decision_reason
adult,C,73,2,LogisticRegression,0.8756,0.8269,False,sex,0.2842,0.1569,0.1263,True,,True,approve,violation remains but reroutes are exhausted
adult,C,73,2,LogisticRegression,0.8756,0.8269,False,race,0.2424,0.1575,0.2263,True,,True,approve,violation remains but reroutes are exhausted
adult,C,73,2,LogisticRegression,0.8756,0.8269,False,marital-status,0.0438,0.3231,0.3203,False,Married-AF-spouse=5,True,approve,violation remains but reroutes are exhausted
adult,C,73,2,LogisticRegression,0.8756,0.8269,False,occupation,0.0452,0.3906,0.5882,False,Armed-Forces=2,True,approve,violation remains but reroutes are exhausted
adult,C,128,0,XGBoost,0.9295,0.8775,False,age,0.0192,0.2457,0.2568,True,,True,reject_model_or_fairness,fairness violation with reroutes remaining
adult,C,128,0,XGBoost,0.9295,0.8775,False,sex,0.309,0.184,0.1228,True,,True,reject_model_or_fairness,fairness violation with reroutes remaining
adult,C,128,0,XGBoost,0.9295,0.8775,False,race,0.3179,0.1498,0.3873,True,,True,reject_model_or_fairness,fairness violation with reroutes remaining
adult,C,128,0,XGBoost,0.9295,0.8775,False,marital-status,0.0486,0.3918,0.3228,False,Married-AF-spouse=8,True,reject_model_or_fairness,fairness violation with reroutes remaining
adult,C,128,0,XGBoost,0.9295,0.8775,False,occupation,0.0203,0.4815,0.6058,False,Armed-Forces=3,True,reject_model_or_fairness,fairness violation with reroutes remaining
adult,C,128,1,RandomForest,0.9061,0.8591,False,age,0.015,0.2368,0.3054,True,,True,reject_model_or_fairness,fairness violation with reroutes remaining
adult,C,128,1,RandomForest,0.9061,0.8591,False,sex,0.3057,0.1765,0.1353,True,,True,reject_model_or_fairness,fairness violation with reroutes remaining
adult,C,128,1,RandomForest,0.9061,0.8591,False,race,0.2205,0.1644,0.3721,True,,True,reject_model_or_fairness,fairness violation with reroutes remaining
adult,C,128,1,RandomForest,0.9061,0.8591,False,marital-status,0.0409,0.3819,0.3601,False,Married-AF-spouse=8,True,reject_model_or_fairness,fairness violation with reroutes remaining
adult,C,128,1,RandomForest,0.9061,0.8591,False,occupation,0.0176,0.4457,0.6383,False,Armed-Forces=3,True,reject_model_or_fairness,fairness violation with reroutes remaining
adult,C,128,2,LogisticRegression,0.8788,0.8271,False,age,0.0229,0.2557,0.3658,True,,True,approve,violation remains but reroutes are exhausted
adult,C,128,2,LogisticRegression,0.8788,0.8271,False,sex,0.3074,0.1471,0.0988,True,,True,approve,violation remains but reroutes are exhausted
adult,C,128,2,LogisticRegression,0.8788,0.8271,False,race,0.1907,0.1613,0.4362,True,,True,approve,violation remains but reroutes are exhausted
adult,C,128,2,LogisticRegression,0.8788,0.8271,False,marital-status,0.0311,0.3276,0.2982,False,Married-AF-spouse=8,True,approve,violation remains but reroutes are exhausted
adult,C,128,2,LogisticRegression,0.8788,0.8271,False,occupation,0.0458,0.3998,0.5637,False,Armed-Forces=3,True,approve,violation remains but reroutes are exhausted
adult,D,42,0,XGBoost,0.9273,0.8734,False,age,0.0192,0.2449,0.1983,True,,True,reject_and_mitigate,fairness violation with reroutes remaining: mitigate
adult,D,42,0,XGBoost,0.9273,0.8734,False,sex,0.3306,0.1739,0.0628,True,,True,reject_and_mitigate,fairness violation with reroutes remaining: mitigate
adult,D,42,0,XGBoost,0.9273,0.8734,False,race,0.3193,0.1554,0.2385,True,,True,reject_and_mitigate,fairness violation with reroutes remaining: mitigate
adult,D,42,0,XGBoost,0.9273,0.8734,False,marital-status,0.0435,0.3761,0.4447,False,Married-AF-spouse=7,True,reject_and_mitigate,fairness violation with reroutes remaining: mitigate
adult,D,42,0,XGBoost,0.9273,0.8734,False,occupation,0.0,0.4987,0.6081,False,Armed-Forces=2,True,reject_and_mitigate,fairness violation with reroutes remaining: mitigate
adult,D,42,1,XGBoost,0.926,0.8708,False,age,0.0714,0.2017,0.1527,True,,True,reject_and_mitigate,fairness violation with reroutes remaining: mitigate
adult,D,42,1,XGBoost,0.926,0.8708,False,sex,0.3425,0.1509,0.0563,True,,True,reject_and_mitigate,fairness violation with reroutes remaining: mitigate
adult,D,42,1,XGBoost,0.926,0.8708,False,race,0.2493,0.1569,0.228,True,,True,reject_and_mitigate,fairness violation with reroutes remaining: mitigate
adult,D,42,1,XGBoost,0.926,0.8708,False,marital-status,0.049,0.3318,0.3853,False,Married-AF-spouse=7,True,reject_and_mitigate,fairness violation with reroutes remaining: mitigate
adult,D,42,1,XGBoost,0.926,0.8708,False,occupation,0.0,0.4584,0.5482,False,Armed-Forces=2,True,reject_and_mitigate,fairness violation with reroutes remaining: mitigate
adult,D,42,2,XGBoost,0.9246,0.8694,False,age,0.0963,0.1906,0.1634,True,,True,approve,violation remains but reroutes are exhausted
adult,D,42,2,XGBoost,0.9246,0.8694,False,sex,0.3478,0.1461,0.0464,True,,True,approve,violation remains but reroutes are exhausted
adult,D,42,2,XGBoost,0.9246,0.8694,False,race,0.3926,0.1289,0.0702,True,,True,approve,violation remains but reroutes are exhausted
adult,D,42,2,XGBoost,0.9246,0.8694,False,marital-status,0.0402,0.3275,0.3722,False,Married-AF-spouse=7,True,approve,violation remains but reroutes are exhausted
adult,D,42,2,XGBoost,0.9246,0.8694,False,occupation,0.0,0.44,0.5318,False,Armed-Forces=2,True,approve,violation remains but reroutes are exhausted
adult,D,7,0,XGBoost,0.9284,0.8733,False,age,0.0189,0.2442,0.3162,True,,True,reject_and_mitigate,fairness violation with reroutes remaining: mitigate
adult,D,7,0,XGBoost,0.9284,0.8733,False,sex,0.3209,0.1752,0.0823,True,,True,reject_and_mitigate,fairness violation with reroutes remaining: mitigate
adult,D,7,0,XGBoost,0.9284,0.8733,False,race,0.2352,0.1785,0.3637,True,,True,reject_and_mitigate,fairness violation with reroutes remaining: mitigate
adult,D,7,0,XGBoost,0.9284,0.8733,False,marital-status,0.0608,0.3709,0.2633,False,Married-AF-spouse=6,True,reject_and_mitigate,fairness violation with reroutes remaining: mitigate
adult,D,7,0,XGBoost,0.9284,0.8733,False,occupation,0.0,0.5067,0.6108,False,Armed-Forces=5,True,reject_and_mitigate,fairness violation with reroutes remaining: mitigate
adult,D,7,1,XGBoost,0.926,0.8733,False,age,0.0762,0.2012,0.1791,True,,True,reject_and_mitigate,fairness violation with reroutes remaining: mitigate
adult,D,7,1,XGBoost,0.926,0.8733,False,sex,0.3361,0.1517,0.0553,True,,True,reject_and_mitigate,fairness violation with reroutes remaining: mitigate
adult,D,7,1,XGBoost,0.926,0.8733,False,race,0.3264,0.136,0.2177,True,,True,reject_and_mitigate,fairness violation with reroutes remaining: mitigate
adult,D,7,1,XGBoost,0.926,0.8733,False,marital-status,0.0619,0.3306,0.2292,False,Married-AF-spouse=6,True,reject_and_mitigate,fairness violation with reroutes remaining: mitigate
adult,D,7,1,XGBoost,0.926,0.8733,False,occupation,0.0,0.459,0.5633,False,Armed-Forces=5,True,reject_and_mitigate,fairness violation with reroutes remaining: mitigate
adult,D,7,2,XGBoost,0.9249,0.8715,False,age,0.0635,0.2006,0.123,True,,True,approve,violation remains but reroutes are exhausted
adult,D,7,2,XGBoost,0.9249,0.8715,False,sex,0.3151,0.1552,0.0808,True,,True,approve,violation remains but reroutes are exhausted
adult,D,7,2,XGBoost,0.9249,0.8715,False,race,0.5355,0.0923,0.2385,True,,True,approve,violation remains but reroutes are exhausted
adult,D,7,2,XGBoost,0.9249,0.8715,False,marital-status,0.0602,0.326,0.2182,False,Married-AF-spouse=6,True,approve,violation remains but reroutes are exhausted
adult,D,7,2,XGBoost,0.9249,0.8715,False,occupation,0.0,0.4506,0.558,False,Armed-Forces=5,True,approve,violation remains but reroutes are exhausted
adult,D,19,0,XGBoost,0.9243,0.8724,False,age,0.0188,0.2454,0.3046,True,,True,reject_and_mitigate,fairness violation with reroutes remaining: mitigate
adult,D,19,0,XGBoost,0.9243,0.8724,False,sex,0.3055,0.1816,0.09,True,,True,reject_and_mitigate,fairness violation with reroutes remaining: mitigate
adult,D,19,0,XGBoost,0.9243,0.8724,False,race,0.212,0.1907,0.2146,True,,True,reject_and_mitigate,fairness violation with reroutes remaining: mitigate
adult,D,19,0,XGBoost,0.9243,0.8724,False,marital-status,0.0553,0.3778,0.3456,False,Married-AF-spouse=4,True,reject_and_mitigate,fairness violation with reroutes remaining: mitigate
adult,D,19,0,XGBoost,0.9243,0.8724,False,occupation,0.0,0.4722,0.5952,False,Armed-Forces=5,True,reject_and_mitigate,fairness violation with reroutes remaining: mitigate
adult,D,19,1,XGBoost,0.9224,0.8695,False,age,0.1061,0.1996,0.1037,True,,True,reject_and_mitigate,fairness violation with reroutes remaining: mitigate
adult,D,19,1,XGBoost,0.9224,0.8695,False,sex,0.2961,0.1697,0.1047,True,,True,reject_and_mitigate,fairness violation with reroutes remaining: mitigate
adult,D,19,1,XGBoost,0.9224,0.8695,False,race,0.3216,0.1352,0.1377,True,,True,reject_and_mitigate,fairness violation with reroutes remaining: mitigate
adult,D,19,1,XGBoost,0.9224,0.8695,False,marital-status,0.0578,0.3454,0.3457,False,Married-AF-spouse=4,True,reject_and_mitigate,fairness violation with reroutes remaining: mitigate
adult,D,19,1,XGBoost,0.9224,0.8695,False,occupation,0.0,0.4515,0.5619,False,Armed-Forces=5,True,reject_and_mitigate,fairness violation with reroutes remaining: mitigate
adult,D,19,2,XGBoost,0.9177,0.8669,False,age,0.0905,0.19,0.1354,True,,True,approve,violation remains but reroutes are exhausted
adult,D,19,2,XGBoost,0.9177,0.8669,False,sex,0.5441,0.092,0.121,True,,True,approve,violation remains but reroutes are exhausted
adult,D,19,2,XGBoost,0.9177,0.8669,False,race,0.3213,0.128,0.13,True,,True,approve,violation remains but reroutes are exhausted
adult,D,19,2,XGBoost,0.9177,0.8669,False,marital-status,0.0659,0.3135,0.3058,False,Married-AF-spouse=4,True,approve,violation remains but reroutes are exhausted
adult,D,19,2,XGBoost,0.9177,0.8669,False,occupation,0.0,0.4126,0.5287,False,Armed-Forces=5,True,approve,violation remains but reroutes are exhausted
adult,D,73,0,XGBoost,0.9242,0.8699,False,age,0.019,0.2479,0.2517,True,,True,reject_and_mitigate,fairness violation with reroutes remaining: mitigate
adult,D,73,0,XGBoost,0.9242,0.8699,False,sex,0.2911,0.1887,0.1227,True,,True,reject_and_mitigate,fairness violation with reroutes remaining: mitigate
adult,D,73,0,XGBoost,0.9242,0.8699,False,race,0.2927,0.18,0.2974,True,,True,reject_and_mitigate,fairness violation with reroutes remaining: mitigate
adult,D,73,0,XGBoost,0.9242,0.8699,False,marital-status,0.0604,0.3812,0.3367,False,Married-AF-spouse=5,True,reject_and_mitigate,fairness violation with reroutes remaining: mitigate
adult,D,73,0,XGBoost,0.9242,0.8699,False,occupation,0.0,0.5065,0.6392,False,Armed-Forces=2,True,reject_and_mitigate,fairness violation with reroutes remaining: mitigate
adult,D,73,1,XGBoost,0.922,0.8703,False,age,0.0798,0.2017,0.1382,True,,True,reject_and_mitigate,fairness violation with reroutes remaining: mitigate
adult,D,73,1,XGBoost,0.922,0.8703,False,sex,0.3051,0.1622,0.0947,True,,True,reject_and_mitigate,fairness violation with reroutes remaining: mitigate
adult,D,73,1,XGBoost,0.922,0.8703,False,race,0.2921,0.1573,0.1649,True,,True,reject_and_mitigate,fairness violation with reroutes remaining: mitigate
adult,D,73,1,XGBoost,0.922,0.8703,False,marital-status,0.059,0.3367,0.3111,False,Married-AF-spouse=5,True,reject_and_mitigate,fairness violation with reroutes remaining: mitigate
adult,D,73,1,XGBoost,0.922,0.8703,False,occupation,0.0,0.4673,0.6236,False,Armed-Forces=2,True,reject_and_mitigate,fairness violation with reroutes remaining: mitigate
adult,D,73,2,XGBoost,0.921,0.8672,False,age,0.0807,0.1994,0.1872,True,,True,approve,violation remains but reroutes are exhausted
adult,D,73,2,XGBoost,0.921,0.8672,False,sex,0.3123,0.1588,0.0836,True,,True,approve,violation remains but reroutes are exhausted
